,,,,,,,,
,,,,,,,,
,BOMBAY,STOCK,EXCHANGE,LTD,MUMBAI.,Settlement,No.196,Date:06/01/2011
================================================================================,,,,,,,,
,Scrip,Scrip,Quantity,Scrip,Scrip,Quantity,,
,Code,Name,Code,Name,,,,
================================================================================,,,,,,,,
532338,VALUEMART,400,,,,,,
532917,VARUN,58,,,,,,
532677,VIKASHMET,500,,,,,,
526441,VISION,8944,,,,,,
500575,VOLTAS,30,,,,,,
532144,WELCORP,52,,,,,,
508933,WELSPSY,50,,,,,,
507685,WIPRO,6,,,,,,
590013,XPRO,220,,,,,,
532794,ZEENEWS,250,,,,,,
533292,A2ZMES,311,,,,,,
514274,AARVEED,245,,,,,,
500002,ABB,60,,,,,,
532682,ABGSHIP,50,,,,,,
500303,ABIRLANUV,10,,,,,,
517356,ACIIN,35,,,,,,
524091,ACRYSIL,1,,,,,,
526711,ADARSHPL,50,,,,,,
530431,ADORFO,100,,,,,,
530499,AKCAPIT,35,,,,,,
533029,ALKALI,200,,,,,,
530715,ALPSIND,297,,,,,,
532664,AMAR,5,,,,,,
590006,AMRUTANJ,1,,,,,,
515055,ANANTRAJ,50,,,,,,
531519,ANKUSHFI,1,,,,,,
590059,APLAPOLLO,200,,,,,,
500877,APOLLOTYRE,10,,,,,,
500014,APPLEFIN,100,,,,,,
533159,AQUA,10200,,,,,,
522275,AREVA,249,,,,,,
500101,ARVIND,1000,,,,,,
515030,ASAHI,74,,,,,,
514286,ASHIMA,250,,,,,,
532047,ASIANFILMS,1,,,,,,
500024,ASSAMCO,5910,,,,,,
532320,ATCOCORP,600,,,,,,
524804,AUROBINDOP,68,,,,,,
532797,AUTOIND,1,,,,,,
532989,BAFNAPHAR,200,,,,,,
500032,BAJAJHIND,193,,,,,,
532694,BARTRONICS,102,,,,,,
500043,BATA,129,,,,,,
533095,BENGALASM,50,,,,,,
531719,BHAGCHEM,1,,,,,,
518017,BHEEMACEM,3125,,,,,,
524663,BIBCL,100,,,,,,
532523,BIOCON,30,,,,,,
505426,BIRLMCTOL,300,,,,,,
532719,BLKASHYAP,500,,,,,,
500074,BPL,1,,,,,,
500825,BRITANNIA,31,,,,,,
532792,CAIRN,100,,,,,,
590076,CAMSONBIO,61,,,,,,
533260,CAREERP,10,,,,,,
532871,CELESTIAL,4,,,,,,
500040,CENTURYTEX,300,,,,,,
500087,CIPLA,53,,,,,,
890010,CLUATPP,100,,,,,,
533278,COALINDIA,3302,,,,,,
531224,COMPUTEC,100,,,,,,
512199,COREPROJECT,100,,,,,,
532542,CREWBOS,51,,,,,,
500096,DABUR,1020,,,,,,
532772,DCB,550,,,,,,
500645,DEEPAKFERT,1,,,,,,
590031,DENORA,996,,,,,,
500119,DHAMPUR,310,,,,,,
532488,DIVISLAB,101,,,,,,
532868,DLF,221,,,,,,
505526,DOLAT,200,,,,,,
532610,DWARKESH,100,,,,,,
532696,EDUCOMP,25,,,,,,
532178,EIL,30,,,,,,
533264,ELECTROSTEE,10,,,,,,
533218,EMAMINFRA,780,,,,,,
500134,ESSAROIL,135,,,,,,
500136,ESTERIND,1,,,,,,
505744,FEDMOGGOE,3,,,,,,
532809,FSL,530,,,,,,
500655,GARWARPOLY,50,,,,,,
524564,GAYATRIBI,10,,,,,,
530389,GEEFC,199,,,,,,
532318,GEMINICO,3799,,,,,,
500620,GESHIP,100,,,,,,
517300,GIPCL,32,,,,,,
500676,GLAXOCON,20,,,,,,
532296,GLENMARK,7,,,,,,
530263,GLOBALCA,9448,,,,,,
532773,GLOVECTRA,25,,,,,,
532181,GMDC,50,,,,,,
500670,GNFC,50,,,,,,
500164,GODREJIND,465,,,,,,
532482,GRANULES,70,,,,,,
533282,GRAVITA,27,,,,,,
532786,GREATOFF,80,,,,,,
532702,GSPL,100,,,,,,
532775,GTLINFRA,100,,,,,,
514386,GUJCOTEX,2,,,,,,
512579,GUJNRE,2376,,,,,,
506480,GULFOIL,25,,,,,,
532708,GVKPIL,300,,,,,,
532770,HANUNG,1000,,,,,,
532855,HARYNACAP,44,,,,,,
532281,HCLTECH,35,,,,,,
532873,HDIL,30,,,,,,
532671,HENKEL,100,,,,,,
500440,HINDALCO,84,,,,,,
513599,HINDCOPER,110,,,,,,
506170,HIRAN,625,,,,,,
532174,ICICIBANK,30,,,,,,
532659,IDFC,50,,,,,,
530887,INCFS,50,,,,,,
934774,INDHOTELNCD,180,,,,,,
530005,INDIACEM,82,,,,,,
533257,INDOSOLAR,1,,,,,,
532187,INDUSINDBK,50,,,,,,
500209,INFOSYS,35,,,,,,
512185,IOLNETCOM,80,,,,,,
524494,IPCALAB,17,,,,,,
533181,ISFT,1,,,,,,
700109,ISPATPRSH,340,,,,,,
500875,ITC,1306,,,,,,
523610,ITI,100,,,,,,
512237,JAICORP,69,,,,,,
532532,JAIPRA,90,,,,,,
514034,JBFIND,17,,,,,,
532617,JETAIRWAYS,69,,,,,,
500378,JINDAL,1,,,,,,
530405,JINDCAP,613,,,,,,
532644,JKCEM,1,,,,,,
522263,JMCPRO,100,,,,,,
533207,JPINFRATEC,245,,,,,,
516078,JUMBOBA,434,,,,,,
513250,JYOTIST,1010,,,,,,
532268,KALECONSUL,50,,,,,,
522287,KALPOWR,116,,,,,,
517569,KEIND,500,,,,,,
532686,KERNEX,689,,,,,,
507794,KHAICHEM,150,,,,,,
524699,KILBURNC,500,,,,,,
500245,KIRLFER,550,,,,,,
532901,KOUTONS,20,,,,,,
532081,KSERA,1000,,,,,,
532778,LITL,100,,,,,,
500254,LLOYDSTEEL,1941,,,,,,
526179,LUDLOWJUT,4,,,,,,
517449,MAGNAELQ,100,,,,,,
532313,MAHINLIFE,4,,,,,,
500267,MAJESAUT,1,,,,,,
532906,MANALUM,3,,,,,,
505324,MANUGRAP,30,,,,,,
532500,MARUTI,98,,,,,,
500271,MAX,50,,,,,,
503685,MEDIAONE,1,,,,,,
526235,MERCAT,111,,,,,,
533220,MIDFIELD,65737,,,,,,
500279,MIRC,45,,,,,,
506261,MODISNME,90,,,,,,
533080,MOLDTKPAC,20,,,,,,
532621,MORARJTEX,1,,,,,,
517334,MOTHERSUMI,15,,,,,,
500109,MRPL,359,,,,,,
532921,MUNDRAPOR,401,,,,,,
532991,MVL,110,,,,,,
500075,NAGARFER,200,,,,,,
500296,NAHARSPG,200,,,,,,
532256,NALWA,15,,,,,,
524816,NATCO,25,,,,,,
532864,NELCAST,5622,,,,,,
513683,NEYVELILIG,1005,,,,,,
530377,NILA,2660,,,,,,
511523,NIYATI,1000,,,,,,
500730,NOCIL,50,,,,,,
532555,NTPC,25,,,,,,
533008,OCLISL,1,,,,,,
532944,ONMOBILE,60,,,,,,
504879,ORIABRAS,150,,,,,,
511525,PANINDIAC,100,,,,,,
530555,PARACOM,83,,,,,,
532780,PARSVNATH,16,,,,,,
500327,PEACOCKI,247,,,,,,
513405,PENNARAL,500,,,,,,
532522,PETRONET,273,,,,,,
500302,PIRAMALHE,402,,,,,,
532254,POLARIS,109,,,,,,
532933,PORWAL,310,,,,,,
532934,PPAP,95,,,,,,
522205,PRAJIND,905,,,,,,
523539,PRECWIRE,100,,,,,,
506022,PRKSH,100,,,,,,
532524,PTC,50,,,,,,
517556,PVP,100,,,,,,
522257,RAJOOENG,20,,,,,,
530699,RAJRAYON,1,,,,,,
500355,RALLIS,1,,,,,,
532369,RAMCOIND,93,,,,,,
500359,RANBAXY,611,,,,,,
532661,RANEMADRAS,1,,,,,,
500330,RAYMOND,3,,,,,,
530923,RCLFOODS,20,,,,,,
532805,REDINGTON,50,,,,,,
500111,RELCAPITAL,85,,,,,,
532399,RELMEDIA,30,,,,,,
515085,RESTILE,20,,,,,,
505368,REVTEQP,315,,,,,,
500325,RIL,202,,,,,,
532527,RKFORGE,6,,,,,,
523025,SAFARIND,3,,,,,,
503691,SAHARA,1,,,,,,
532841,SAHYADRI,35,,,,,,
507315,SAKTHISU,91,,,,,,
532604,SALSTEEL,5,,,,,,
500376,SATYAM,1040,,,,,,
532191,SBT,50,,,,,,
533268,SEATV,25,,,,,,
532886,SELMCL,900,,,,,,
523449,SHARP,3,,,,,,
526137,SHETR,23,,,,,,
532323,SHIVACEM,50,,,,,,
526335,SHREYASI,100,,,,,,
532999,SILVERANI,45,,,,,,
507446,SIMBHALS,25,,,,,,
502742,SINTEX,66,,,,,,
514304,SKUMARN,271,,,,,,
532725,SOLARIND,1,,,,,,
532218,SOUTHINDBA,3077,,,,,,
512048,SPLASHM,100,,,,,,
530821,SSPDL,1,,,,,,
500399,STEELCO,80,,,,,,
590037,STEELXIND,500,,,,,,
513151,STIIN,50,,,,,,
532348,SUBEXLTD,125,,,,,,
524715,SUNPHARMA,40,,,,,,
530185,SURATEX,331,,,,,,
532667,SUZLON,615,,,,,,
517385,SYMPHONY,48,,,,,,
500770,TATACHEM,38,,,,,,
500408,TATAELXSI,91,,,,,,
500570,TATAMOTORS,21,,,,,,
513010,TATASPONGE,1,,,,,,
501242,TCIFIN,102,,,,,,
532755,TECHM,166,,,,,,
526650,TFCIL,200,,,,,,
533121,THINKSOFT,4,,,,,,
532856,TIMETECNO,500,,,,,,
504966,TINPLATE,706,,,,,,
590091,TRINETHRA,3,,,,,,
517506,TTKPRES,59,,,,,,
532948,TULSI,1,,,,,,
532343,TVSMOTOR,200,,,,,,
526945,TYROON,100,,,,,,
500231,UMANGDAIR,100,,,,,,
504605,UNIABEXAL,126,,,,,,
532432,UNITDSPR,10,,,,,,
532746,UNITY,83,,,,,,
519156,VADILINDQ,100,,,,,,
590111,VAISHNAVI,100,,,,,,
500945,VALUEINDU,100,,,,,,
530369,VAMSHIRU,1,,,,,,
520113,VESUVIUS,90,,,,,,
507880,VIPIND,120,,,,,,
532660,VIVIMEDLABS,50,,,,,,
509966,VST,7,,,,,,
533252,WELINV,2076,,,,,,
514348,WINSOMY,9981,,,,,,
532511,XCLCROP,1,,,,,,
533287,ZEELEARN,2,,,,,,
517164,ZENITCOM,3,,,,,,
