"Tentative list of securities to be auctioned in A 2011019 to be held on Feb 02, 2011.",,,,
S,No,Symbol,Series,Quantity
262,PENINLAND,EQ,1476,
263,PETRONET,EQ,4740,
264,PFOCUS,EQ,1,
265,PIONEEREMB,EQ,4,
266,PIPAVAVYD,EQ,5092,
267,PNB,EQ,186,
268,POLARIS,EQ,10,
269,POLYPLEX,EQ,562,
270,POWERGRID,EQ,1229,
271,PRAJIND,EQ,2360,
272,PRAKASH,EQ,2000,
273,PRESTIGE,EQ,293,
274,PRETAILDVR,EQ,25,
275,PRISMCEM,EQ,302,
276,PSB,EQ,50,
277,PUNJLLOYD,EQ,100,
278,PURVA,EQ,25,
279,PVR,EQ,3,
280,RAJESHEXPO,EQ,71,
281,RAMCOIND,EQ,400,
282,RAMKY,EQ,200,
283,RANASUG,EQ,100,
284,RANBAXY,EQ,25,
285,RATNAMANI,EQ,25,
286,RAYMOND,EQ,110,
287,RBN,EQ,85,
288,RCOM,EQ,148,
289,REDINGTON,EQ,21,
290,RELIGARE,EQ,1,
291,RELINFRA,EQ,1104,
292,REMSONSIND,EQ,1,
293,RENUKA,EQ,1170,
294,RKDL,EQ,395,
295,RPGLIFE,EQ,190,
296,RPOWER,EQ,151,
297,RUCHINFRA,EQ,21668,
298,RUCHISOYA,EQ,12,
299,SABTN,EQ,50,
300,SAIL,EQ,1,
301,SAKHTISUG,EQ,300,
302,SANGAMIND,EQ,370,
303,SATHAISPAT,EQ,34,
304,SAVERA,EQ,18,
305,SBBJ,EQ,1000,
306,SBIGETS,EQ,90,
307,SBIN,EQ,120,
308,SBT,EQ,1000,
309,SCI,EQ,2260,
310,SESAGOA,EQ,862,
311,SEZALGLASS,EQ,100,
312,SHILPAMED,EQ,6,
313,SHPRE,EQ,537,
314,SHREEASHTA,EQ,25223,
315,SHREYAS,EQ,4,
316,SHYAMTEL,EQ,151,
317,SIEMENS,EQ,95,
318,SJVN,EQ,1,
319,SKSMICRO,EQ,20,
320,SMARTLINK,EQ,202,
321,SMLISUZU,EQ,3,
322,SMPL,EQ,10,
323,SPYL,EQ,200,
324,SREINFRA,EQ,136,
325,STAR,EQ,75,
326,STCINDIA,EQ,50,
327,STER,EQ,304,
328,STERTOOLS,EQ,300,
329,SUMEETINDS,EQ,1600,
330,SUNFLAG,EQ,3000,
331,SUNILHITEC,EQ,781,
332,SUNPHARMA,EQ,200,
333,SUNTECK,EQ,100,
334,SUPERSPIN,EQ,470,
335,SUPREMEIND,EQ,25,
336,SURANAVEL,EQ,187,
337,SUZLON,EQ,125,
338,SYNDIBANK,EQ,2394,
339,TAKE,EQ,63000,
340,TALWALKARS,EQ,1059,
341,TANLA,EQ,1500,
342,TATACOFFEE,EQ,68,
343,TATACOMM,EQ,49,
344,TATAELXSI,EQ,537,
345,TATAGLOBAL,EQ,560,
346,TATAMOTORS,EQ,31,
347,TATASTEEL,EQ,28684,
348,TCI,EQ,616,
349,TCS,EQ,27,
350,TECHNO,EQ,402,
351,TECHNOFAB,EQ,11,
352,TFCILTD,EQ,100,
353,THANGAMAYL,EQ,57,
354,THINKSOFT,EQ,63,
355,THOMASCOOK,EQ,76,
356,TI,EQ,1000,
357,TIMETECHNO,EQ,1,
358,TIPSINDLTD,EQ,1550,
359,TITAN,EQ,95,
360,TNPETRO,EQ,4850,
361,TODAYS,EQ,26,
362,TRIVENI,EQ,25,
363,TTKPRESTIG,EQ,86,
364,TULIP,EQ,226,
365,TV-18,EQ,2120,
366,TVSMOTOR,EQ,1,
367,TWILITAKA,EQ,30,
368,UCALFUEL,EQ,1500,
369,UNIONBANK,EQ,100,
370,UNITECH,EQ,600,
371,UNITEDBNK,EQ,2,
372,USHAMART,EQ,15,
373,UTTAMSTL,EQ,100,
374,VARUNSHIP,EQ,50,
375,VIDEOIND,EQ,375,
376,VIJAYABANK,EQ,450,
377,VISASTEEL,EQ,865,
378,VOLTAS,EQ,692,
379,WABAG,EQ,9,
380,WELCORP,EQ,405,
381,WINDSOR,EQ,90,
382,WINSOMYARN,EQ,1,
383,WIPRO,EQ,58,
384,WWIL,EQ,100,
385,YESBANK,EQ,917,
386,ZEEL,EQ,50,
387,ZEENEWS,EQ,3301,
388,ZENITHINFO,EQ,50,
389,ZICOM,EQ,3,
