"Tentative list of securities to be auctioned in A 2010225 to be held on Nov 29, 2010."			
S No	Symbol	Series	Quantity
288	SANGHVIMOV	EQ	50
289	SANWARIA	EQ	25
290	SARDAEN	EQ	100
291	SATHAISPAT	EQ	100
292	SBIN	N2	45
293	SEINVEST	EQ	21
294	SELAN	EQ	314
295	SESAGOA	EQ	5
296	SGJHL	EQ	300
297	SHANTIGEAR	EQ	123
298	SHREEASHTA	EQ	2287
299	SICAL	EQ	100
300	SINTEX	EQ	2025
301	SIYSIL	EQ	1
302	SKMEGGPROD	EQ	678
303	SKSMICRO	EQ	421
304	SOUTHBANK	EQ	50
305	SPARC	EQ	355
306	SPIC	EQ	1233
307	SPMLINFRA	EQ	5
308	SREINFRA	EQ	350
309	SRF	EQ	37
310	SRTRANSFIN	N3	20
311	SSWL	EQ	500
312	STAR	EQ	5
313	STER	EQ	150
314	STRTECH	EQ	500
315	SUJANATOW	EQ	100
316	SUJANAUNI	EQ	200
317	SUNDARAM	EQ	1000
318	SUNTV	EQ	46
319	SURYAPHARM	EQ	25
320	SURYAROSNI	EQ	100
321	TAJGVK	EQ	130
322	TAKE	EQ	99
323	TALWALKARS	EQ	506
324	TANLA	EQ	500
325	TARAPUR	EQ	53
326	TATACAP	N4	30
327	TATACHEM	EQ	95
328	TATAINVEST	EQ	1
329	TATASTEEL	EQ	628
330	TECPRO	EQ	171
331	TEXMACOLTD	EQ	1
332	TEXMOPIPES	EQ	380
333	THANGAMAYL	EQ	51
334	THERMAX	EQ	50
335	TIMETECHNO	EQ	450
336	TIRUMALCHM	EQ	100
337	TNPL	EQ	200
338	TORNTPHARM	EQ	30
339	TORNTPOWER	EQ	120
340	TTKPRESTIG	EQ	35
341	TTML	EQ	250
342	TULIP	EQ	51
343	TV-18	EQ	100
344	TVSMOTOR	EQ	2314
345	TWILITAKA	EQ	2
346	TWL	EQ	212
347	UBHOLDINGS	EQ	20
348	UCOBANK	EQ	221
349	UGARSUGAR	EQ	1
350	ULTRACEMCO	EQ	4
351	UNIONBANK	EQ	2
352	UNITECH	EQ	51
353	UNITEDBNK	EQ	13
354	USHAMART	EQ	200
355	USHERAGRO	EQ	275
356	VAKRANSOFT	EQ	68
357	VALECHAENG	EQ	30
358	VARUN	EQ	101
359	VATECH	EQ	21
360	VENKEYS	EQ	5
361	VIDEOIND	EQ	666
362	VIJAYABANK	EQ	250
363	VIJAYTEX	EQ	300
364	VINDHYATEL	EQ	250
365	VIPIND	EQ	10
366	WANBURY	EQ	1325
367	WELINV	EQ	8
368	WELSPUNIND	EQ	1
369	WOCKPHARMA	EQ	142
370	WSTCSTPAPR	EQ	100
371	ZENITHBIR	EQ	150
372	ZUARIAGRO	EQ	55
373	ZYDUSWELL	EQ	21
374	ZYLOG	EQ	20
